Interest Code,Job Zone,Code,Occupation,Featured
RC,2,49-9099.01,Geothermal Technicians,
RCA,2,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",
RC,2,47-2121.00,Glaziers,
R,2,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",
RC,2,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",
RC,2,53-3032.00,Heavy and Tractor-Trailer Truck Drivers,Y
R,2,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",
RC,2,47-3012.00,Helpers--Carpenters,
RC,2,47-3013.00,Helpers--Electricians,
RC,2,47-5081.00,Helpers--Extraction Workers,
RCI,2,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers",
R,2,47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",
RC,2,51-9198.00,Helpers--Production Workers,
RC,2,47-3016.00,Helpers--Roofers,
RC,2,47-4051.00,Highway Maintenance Workers,
REC,2,53-7041.00,Hoist and Winch Operators,
RCI,2,49-9031.00,Home Appliance Repairers,
RC,2,53-7051.00,Industrial Truck and Tractor Operators,
R,2,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",
RCI,2,47-2132.00,"Insulation Workers, Mechanical",
RC,2,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Y
R,2,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",Y
RIC,2,51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",
RCI,2,51-4192.00,"Layout Workers, Metal and Plastic",
RS,2,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",
RC,2,53-3033.00,Light Truck Drivers,
RC,2,47-5044.00,"Loading and Moving Machine Operators, Underground Mining",
RC,2,49-9094.00,Locksmiths and Safe Repairers,
RC,2,53-4011.00,Locomotive Engineers,
RC,2,45-4023.00,Log Graders and Scalers,
RC,2,53-7063.00,Machine Feeders and Offbearers,
RES,2,39-5092.00,Manicurists and Pedicurists,Y
RC,2,49-9095.00,Manufactured Building and Mobile Home Installers,
R,2,49-9011.00,Mechanical Door Repairers,
RCI,2,31-9093.00,Medical Equipment Preparers,Y
RIC,2,51-4051.00,Metal-Refining Furnace Operators and Tenders,
RC,2,51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",
RCI,2,49-9044.00,Millwrights,
RCI,2,51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",
RC,2,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",
RCI,2,51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",
RC,2,39-3021.00,Motion Picture Projectionists,
RCE,2,53-5022.00,Motorboat Operators,
R,2,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",
RIC,2,17-3029.01,Non-Destructive Testing Specialists,
RC,2,43-9071.00,"Office Machine Operators, Except Computer",
RCI,2,47-2073.00,Operating Engineers and Other Construction Equipment Operators,
RC,2,51-9083.00,Ophthalmic Laboratory Technicians,
RC,2,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics,
RC,2,51-9111.00,Packaging and Filling Machine Operators and Tenders,
RC,2,53-7064.00,"Packers and Packagers, Hand",
RC,2,47-2141.00,"Painters, Construction and Maintenance",
RC,2,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",
RC,2,47-2142.00,Paperhangers,
RC,2,53-6021.00,Parking Attendants,
RC,2,33-3041.00,Parking Enforcement Workers,
RSE,2,53-6061.00,Passenger Attendants,
RC,2,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",
RC,2,37-2021.00,Pest Control Workers,Y
RC,2,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",
RC,2,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",
RCI,2,47-2072.00,Pile Driver Operators,
R,2,47-2151.00,Pipelayers,Y
RC,2,51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",
RC,2,51-4052.00,"Pourers and Casters, Metal",
RC,2,51-8013.00,Power Plant Operators,
RC,2,51-5113.00,Print Binding and Finishing Workers,
RC,2,51-5112.00,Printing Press Operators,
RCI,2,53-7072.00,"Pump Operators, Except Wellhead Pumpers",
RCI,2,49-3043.00,Rail Car Repairers,
RCI,2,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers",
R,2,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,
RCE,2,53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",
RIC,2,49-3092.00,Recreational Vehicle Service Technicians,
RC,2,53-7062.04,Recycling and Reclamation Workers,Y
RCI,2,49-9045.00,"Refractory Materials Repairers, Except Brickmasons",
RC,2,53-7081.00,Refuse and Recyclable Material Collectors,Y
RCI,2,47-2171.00,Reinforcing Iron and Rebar Workers,
RCI,2,49-9096.00,Riggers,
RC,2,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",
RC,2,47-5043.00,"Roof Bolters, Mining",
RC,2,47-2181.00,Roofers,
REC,2,47-5012.00,"Rotary Drill Operators, Oil and Gas",
RC,2,53-5011.00,Sailors and Marine Oilers,
RCI,2,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood",
RCE,2,33-9032.00,Security Guards,Y
RC,2,47-4091.00,Segmental Pavers,
RCI,2,51-9141.00,Semiconductor Processing Technicians,
RCI,2,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",
RCI,2,47-5013.00,"Service Unit Operators, Oil and Gas",
RAC,2,51-6051.00,"Sewers, Hand",
REC,2,39-5093.00,Shampooers,
R,2,47-2211.00,Sheet Metal Workers,
RCA,2,51-6041.00,Shoe and Leather Workers and Repairers,
RC,2,51-6042.00,Shoe Machine Operators and Tenders,
RC,2,51-3023.00,Slaughterers and Meat Packers,
RC,2,47-2231.00,Solar Photovoltaic Installers,
RA,2,51-9195.03,"Stone Cutters and Carvers, Manufacturing",
RIC,2,47-2221.00,Structural Iron and Steel Workers,
RC,2,53-4041.00,Subway and Streetcar Operators,
RAE,2,51-6052.00,"Tailors, Dressmakers, and Custom Sewers",
RC,2,53-7121.00,"Tank Car, Truck, and Ship Loaders",
R,2,47-2082.00,Tapers,
RCE,2,51-2092.00,Team Assemblers,
RE,2,49-9052.00,Telecommunications Line Installers and Repairers,
R,2,47-2053.00,Terrazzo Workers and Finishers,
R,2,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,
RC,2,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders",
RC,2,51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",
RC,2,51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",
RCA,2,47-2044.00,Tile and Stone Setters,
RC,2,51-2061.00,Timing Device Assemblers and Adjusters,
RC,2,51-9197.00,Tire Builders,
RC,2,49-3093.00,Tire Repairers and Changers,
RC,2,51-4194.00,"Tool Grinders, Filers, and Sharpeners",
REC,2,33-9093.00,Transportation Security Screeners,
RCI,2,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",
R,2,37-3013.00,Tree Trimmers and Pruners,
REC,2,27-2023.00,"Umpires, Referees, and Other Sports Officials",Y
R,2,51-6093.00,Upholsterers,
RSI,2,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,
RC,2,47-4099.03,Weatherization Installers and Technicians,
RCI,2,51-4121.00,"Welders, Cutters, Solderers, and Brazers",
RC,2,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",
RCI,2,53-7073.00,Wellhead Pumpers,
RCI,2,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",
RIC,3,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,Y
RIC,3,19-4012.00,Agricultural Technicians,
RCI,3,49-3011.00,Aircraft Mechanics and Service Technicians,
RCA,3,17-3011.00,Architectural and Civil Drafters,
RIC,3,27-4011.00,Audio and Video Technicians,Y
RC,3,49-2097.00,Audiovisual Equipment Installers and Repairers,
RIC,3,17-3027.01,Automotive Engineering Technicians,
RIC,3,49-3023.00,Automotive Service Technicians and Mechanics,
RCI,3,53-6051.01,Aviation Inspectors,
RIC,3,49-2091.00,Avionics Technicians,
RCE,3,33-3011.00,Bailiffs,
REC,3,39-5011.00,Barbers,Y
RC,3,47-2011.00,Boilermakers,
RCI,3,27-4012.00,Broadcast Technicians,
RC,3,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,
RCI,3,49-9061.00,Camera and Photographic Equipment Repairers,
RA,3,27-4031.00,"Camera Operators, Television, Video, and Film",Y
REC,3,53-5021.00,"Captains, Mates, and Pilots of Water Vessels",
RIS,3,29-2031.00,Cardiovascular Technologists and Technicians,
RCI,3,17-3022.00,Civil Engineering Technologists and Technicians,
R,3,49-9092.00,Commercial Divers,Y
RIE,3,53-2012.00,Commercial Pilots,
RC,3,51-9161.00,Computer Numerically Controlled Tool Operators,
RIC,3,15-1232.00,Computer User Support Specialists,Y
RCI,3,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",
RCI,3,47-4011.00,Construction and Building Inspectors,
RCI,3,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",
RCI,3,53-7021.00,Crane and Tower Operators,
RC,3,49-2092.00,"Electric Motor, Power Tool, and Related Repairers",
RIC,3,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,
RCI,3,17-3012.00,Electrical and Electronics Drafters,
RC,3,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",
RIC,3,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",
RC,3,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",
RIC,3,47-2111.00,Electricians,Y
RIC,3,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,
RIC,3,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles",
RIC,3,47-4021.00,Elevator and Escalator Installers and Repairers,Y
RCI,3,39-4011.00,Embalmers,
RIC,3,31-9099.02,Endoscopy Technicians,
RAC,3,51-6092.00,Fabric and Apparel Patternmakers,
RCI,3,49-3041.00,Farm Equipment Mechanics and Service Technicians,
RCI,3,33-2021.00,Fire Inspectors and Investigators,
RSE,3,33-2011.00,Firefighters,Y
RIC,3,19-4013.00,Food Science Technicians,
RIE,3,19-4071.00,Forest and Conservation Technicians,
RCI,3,45-4011.00,Forest and Conservation Workers,
RCE,3,33-2022.00,Forest Fire Inspectors and Prevention Specialists,
RC,3,51-8092.00,Gas Plant Operators,
RI,3,51-9071.06,Gem and Diamond Workers,
RC,3,47-4041.00,Hazardous Materials Removal Workers,Y
RCI,3,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",
RCI,3,51-8013.04,Hydroelectric Plant Technicians,
RIC,3,49-9041.00,Industrial Machinery Mechanics,
RAC,3,51-9071.00,Jewelers and Precious Stone and Metal Workers,
RCI,3,51-4041.00,Machinists,
RCS,3,29-2035.00,Magnetic Resonance Imaging Technologists,
RCI,3,49-9071.00,"Maintenance and Repair Workers, General",Y
RCI,3,49-9043.00,"Maintenance Workers, Machinery",
RCI,3,17-3013.00,Mechanical Drafters,
RI,3,17-3027.00,Mechanical Engineering Technologists and Technicians,
RIC,3,29-2012.00,Medical and Clinical Laboratory Technicians,Y
RIS,3,51-9082.00,Medical Appliance Technicians,
RIC,3,49-9062.00,Medical Equipment Repairers,Y
RC,3,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines",
RIC,3,51-4061.00,"Model Makers, Metal and Plastic",
RAC,3,51-7031.00,"Model Makers, Wood",
RCI,3,49-3051.00,Motorboat Mechanics and Service Technicians,
R,3,49-3052.00,Motorcycle Mechanics,
RAI,3,49-9063.00,Musical Instrument Repairers and Tuners,
RI,3,29-2099.01,Neurodiagnostic Technologists,
RCI,3,19-4051.02,Nuclear Monitoring Technicians,
RCE,3,51-8011.00,Nuclear Power Reactor Operators,
RCI,3,19-4051.00,Nuclear Technicians,
RCI,3,51-4062.00,"Patternmakers, Metal and Plastic",
RIA,3,51-7032.00,"Patternmakers, Wood",
RIC,3,17-3029.08,Photonics Technicians,
RCI,3,47-2152.00,"Plumbers, Pipefitters, and Steamfitters",
RA,3,51-9195.05,"Potters, Manufacturing",
RIC,3,51-8012.00,Power Distributors and Dispatchers,
RC,3,51-5111.00,Prepress Technicians and Workers,
RC,3,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers",
RSC,3,29-2034.00,Radiologic Technologists and Technicians,Y
RI,3,17-3024.01,Robotics Technicians,
RC,3,49-2098.00,Security and Fire Alarm Systems Installers,Y
RCE,3,53-5031.00,Ship Engineers,
RC,3,49-9097.00,Signal and Track Switch Repairers,
RC,3,47-2152.04,Solar Thermal Installers and Technicians,
RA,3,27-4014.00,Sound Engineering Technicians,
RIC,3,51-8021.00,Stationary Engineers and Boiler Operators,
R,3,47-2022.00,Stonemasons,
RC,3,51-2041.00,Structural Metal Fabricators and Fitters,
RSC,3,29-2055.00,Surgical Technologists,Y
REC,3,15-1241.01,Telecommunications Engineering Specialists,Y
RIC,3,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",
RIC,3,51-4111.00,Tool and Die Makers,
RIE,3,53-6041.00,Traffic Technicians,Y
REC,3,33-3052.00,Transit and Railroad Police,
RI,3,29-2056.00,Veterinary Technologists and Technicians,Y
RCI,3,49-9064.00,Watch and Clock Repairers,
RC,3,51-8031.00,Water and Wastewater Treatment Plant and System Operators,
RC,3,49-9081.00,Wind Turbine Service Technicians,Y
RCI,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",Y
RI,4,17-2141.02,Automotive Engineers,Y
RIC,4,19-4021.00,Biological Technicians,Y
RIC,4,17-1021.00,Cartographers and Photogrammetrists,Y
RIC,4,17-2051.00,Civil Engineers,Y
REC,4,15-1231.00,Computer Network Support Specialists,Y
RIE,4,19-1031.00,Conservation Scientists,Y
RIC,4,17-3025.00,Environmental Engineering Technologists and Technicians,Y
RI,4,33-3031.00,Fish and Game Wardens,
RIE,4,19-1032.00,Foresters,Y
RIC,4,19-4043.00,"Geological Technicians, Except Hydrologic Technicians",Y
RI,4,17-2112.03,Manufacturing Engineers,Y
RA,4,25-4013.00,Museum Technicians and Conservators,Y
RCI,4,17-3026.01,Nanotechnology Engineering Technologists and Technicians,Y
RIC,4,19-4012.01,Precision Agriculture Technicians,Y
RIC,4,17-2072.01,Radio Frequency Identification Device Specialists,
RIE,4,19-1031.02,Range Managers,Y
RIC,4,19-4099.03,Remote Sensing Technicians,Y
RI,4,17-2199.11,Solar Energy Systems Engineers,Y
RCI,4,17-1022.00,Surveyors,Y
RI,4,17-2051.01,Transportation Engineers,Y
RCE,4,53-6051.00,Transportation Inspectors,Y
RIE,4,17-2199.10,Wind Energy Engineers,
RSI,5,29-1071.01,Anesthesiologist Assistants,Y
RI,5,17-2141.01,Fuel Cell Engineers,Y
RSI,5,29-1022.00,Oral and Maxillofacial Surgeons,Y
RI,5,19-2099.01,Remote Sensing Scientists and Technologists,Y
SR,5,25-2059.01,Adapted Physical Education Specialists,Y
IR,5,19-1011.00,Animal Scientists,Y
ERI,5,11-9041.00,Architectural and Engineering Managers,Y
SRI,5,29-9091.00,Athletic Trainers,Y
IRC,5,15-1221.00,Computer and Information Research Scientists,Y
IR,5,29-2011.02,Cytotechnologists,Y
IRE,5,19-2041.02,Environmental Restoration Planners,Y
IR,5,19-2042.00,"Geoscientists, Except Hydrologists and Geographers",Y
IR,5,17-2112.01,Human Factors Engineers and Ergonomists,Y
IRA,5,19-1042.00,"Medical Scientists, Except Epidemiologists",Y
SR,5,29-9099.01,Midwives,Y
IRS,5,29-1151.00,Nurse Anesthetists,Y
SRI,5,29-2091.00,Orthotists and Prosthetists,Y
IR,5,19-2012.00,Physicists,Y
IR,5,19-1013.00,Soil and Plant Scientists,Y
IR,5,29-1131.00,Veterinarians,Y
